asset_id,name,code,card_id,status,identification,source_image
tts_149000,识文解意的爱书「本居小铃」,REC-104,character-rec-104,已有卡面／重复裁切,project_image_match,cards/tts_149000__character-rec-104.jpg
tts_149001,七色的人偶使「爱丽丝·玛格特洛依德」,,77,已有卡面／重复裁切,project_image_match,cards/tts_149001__77.jpg
tts_149002,祭祀风之人「东风谷早苗」,REI-026,character-rei-026,已有卡面／重复裁切,variant_ambiguous,cards/tts_149002__ambiguous.jpg
tts_149003,神隐的主犯「八云紫」,,character-fdf-ex02,已有卡面／重复裁切,project_image_match,cards/tts_149003__character-fdf-ex02.jpg
tts_149004,「天界ノ蜜桃」,,spell-lof-025,已有卡面／重复裁切,project_image_match,cards/tts_149004__spell-lof-025.jpg
tts_149005,战符「小小军势」,,153,已有卡面／重复裁切,project_image_match,cards/tts_149005__153.jpg
tts_149006,「背德ノ吸血鬼」,,110,已有卡面／重复裁切,project_image_match,cards/tts_149006__110.jpg
tts_149007,湖畔的住人「大妖精」,,13,已有卡面／重复裁切,project_image_match,cards/tts_149007__13.jpg
tts_149008,「不明ノ正体」,,139,已有卡面／重复裁切,project_image_match,cards/tts_149008__139.jpg
tts_149009,「夜ノ蝶」,,135,已有卡面／重复裁切,project_image_match,cards/tts_149009__135.jpg
tts_149010,「境界」,,114,已有卡面／重复裁切,project_image_match,cards/tts_149010__114.jpg
tts_149011,幻巢「飞光虫ノ巢」,,spell-soi-119,已有卡面／重复裁切,project_image_match,cards/tts_149011__spell-soi-119.jpg
tts_149012,运送春天的妖精「莉莉白」,SOI-006,character-soi-006,已有卡面／重复裁切,project_image_match,cards/tts_149012__character-soi-006.jpg
tts_149013,蓬莱的人之形「藤原妹红」,,21,已有卡面／重复裁切,variant_ambiguous,cards/tts_149013__ambiguous.jpg
tts_149014,「极光」,,143,已有卡面／重复裁切,project_image_match,cards/tts_149014__143.jpg
tts_149015,地狱的妖精「克劳恩皮丝」,,34,已有卡面／重复裁切,project_image_match,cards/tts_149015__34.jpg
tts_149016,「未应ノ爱」,,133,已有卡面／重复裁切,project_image_match,cards/tts_149016__133.jpg
tts_149017,「埴轮泰坦」,,54,已有卡面／重复裁切,project_image_match,cards/tts_149017__54.jpg
